season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_ppda,away_ppda,home_deep,away_deep,Result,home_points,away_points,home_rolling_goals_created,away_rolling_goals_created,home_rolling_goals_conceded,away_rolling_goals_conceded,home_rolling_xg_created,away_rolling_xg_created,home_rolling_xg_conceded,away_rolling_xg_conceded,home_rolling_ppda_created,away_rolling_ppda_created,home_rolling_ppda_conceded,away_rolling_ppda_conceded,home_rolling_winrate,away_rolling_winrate,home_rolling_xg_home_only,away_rolling_xg_away_only,home_rolling_goals_home_only,away_rolling_goals_away_only,points_diff,rolling_xG_diff,rolling_ppda_diff,rolling_goals_diff,rolling_winrate_diff,home_squad_value,away_squad_value,squad_value_ratio,squad_value_diff,target
2016/17,2016-08-12,SC Bastia,Paris Saint Germain,0,1,0.8284,0.6649,10,9,0,6,12.6667,4.1154,0,3,A,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,36450000.0,519000000.0,0.07023121387283238,-482550000.0,2
2016/17,2016-08-12,Monaco,Guingamp,2,2,2.4964,0.699,18,9,4,5,2.6053,12.2857,9,2,D,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,309550000.0,42500000.0,7.283529411764706,267050000.0,1
2016/17,2016-08-13,Bordeaux,Saint-Etienne,3,2,1.1659,1.5013,11,14,6,5,11.5,5.0313,3,7,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,88900000.0,85030000.0,1.0455133482300365,3870000.0,0
2016/17,2016-08-13,Caen,Lorient,3,2,2.2728,1.9864,16,8,7,2,8.9583,12.6667,8,7,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,36650000.0,61100000.0,0.599836333878887,-24450000.0,0
2016/17,2016-08-13,Metz,Lille,3,2,2.3171,1.8778,7,17,3,4,11.6667,15.2143,4,4,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,37550000.0,83900000.0,0.4475566150178784,-46350000.0,0
2016/17,2016-08-13,Montpellier,Angers,1,0,0.8792,0.4934,14,13,3,2,7.7241,9.5769,4,5,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,60950000.0,46080000.0,1.3226996527777777,14870000.0,0
2016/17,2016-08-13,Dijon,Nantes,0,1,0.2942,1.3181,6,10,2,3,10.6333,9.6857,2,2,A,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,31200000.0,50900000.0,0.6129666011787819,-19700000.0,2
2016/17,2016-08-14,Nancy,Lyon,0,3,0.3787,2.3247,11,9,1,7,6.5952,7.36,6,7,A,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,33100000.0,211350000.0,0.15661225455405725,-178250000.0,2
2016/17,2016-08-14,Nice,Rennes,1,0,0.7047,1.1686,7,19,1,4,11.4231,11.0323,0,1,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,132800000.00000001,80900000.0,1.6415327564894935,51900000.000000015,0
2016/17,2016-08-14,Marseille,Toulouse,0,0,0.3721,0.2541,10,6,2,2,5.1818,6.925,3,1,D,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,119650000.0,77300000.0,1.5478654592496766,42350000.0,1
2016/17,2016-08-19,Lyon,Caen,2,0,2.8441,0.4583,22,7,7,1,3.8571,10.75,7,0,H,3.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,211350000.0,36650000.0,5.766712141882674,174700000.0,0
2016/17,2016-08-20,Nantes,Monaco,0,1,0.3224,0.545,8,8,2,3,10.8182,7.4375,4,1,A,3.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,50900000.0,309550000.0,0.16443224034889356,-258650000.0,2
2016/17,2016-08-20,Toulouse,Bordeaux,4,1,1.5848,0.7395,11,8,5,2,5.6452,6.8077,4,0,H,1.0,3.0,,,,,,,,,,,,,,,,,,,-2.0,,,,,77300000.0,88900000.0,0.8695163104611924,-11600000.0,0
2016/17,2016-08-20,Angers,Nice,0,1,1.2112,2.061,21,14,6,8,10.625,13.1579,3,10,A,0.0,3.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,46080000.0,132800000.00000001,0.34698795180722886,-86720000.00000001,2
2016/17,2016-08-20,Rennes,Nancy,2,0,0.4575,0.9686,9,8,3,1,18.125,9.931,6,4,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,80900000.0,33100000.0,2.4441087613293053,47800000.0,0
2016/17,2016-08-20,Lille,Dijon,1,0,0.8777,0.5249,10,8,3,2,10.1481,10.0909,9,4,H,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,83900000.0,31200000.0,2.6891025641025643,52700000.0,0
2016/17,2016-08-20,Lorient,SC Bastia,0,3,0.3494,2.2574,10,16,3,7,11.24,21.5833,2,7,A,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,61100000.0,36450000.0,1.6762688614540466,24650000.0,2
2016/17,2016-08-21,Guingamp,Marseille,2,1,1.2469,0.72,14,8,4,3,12.037,3.8286,7,4,H,1.0,1.0,,,,,,,,,,,,,,,,,,,0.0,,,,,42500000.0,119650000.0,0.355202674467196,-77150000.0,0
2016/17,2016-08-21,Saint-Etienne,Montpellier,3,1,1.589,1.4684,14,13,5,3,5.5625,10.3571,5,1,H,0.0,3.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,85030000.0,60950000.0,1.3950779327317473,24080000.0,0
2016/17,2016-08-21,Paris Saint Germain,Metz,3,0,3.8566,0.9964,28,11,8,6,5.1143,31.0,23,3,H,3.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,519000000.0,37550000.0,13.821571238348868,481450000.0,0
2016/17,2016-08-26,Marseille,Lorient,2,0,1.4655,0.4867,13,10,8,5,7.3824,9.4231,6,5,H,1.0,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,119650000.0,61100000.0,1.958265139116203,58550000.0,0
2016/17,2016-08-27,Dijon,Lyon,4,2,1.9951,2.3808,8,25,5,9,17.0,8.4,7,10,H,0.0,6.0,,,,,,,,,,,,,,,,,,,-6.0,,,,,31200000.0,211350000.0,0.14762242725337119,-180150000.0,0
2016/17,2016-08-27,Metz,Angers,2,0,0.448,1.1069,7,23,2,7,19.7692,9.5294,1,6,H,3.0,0.0,,,,,,,,,,,,,,,,,,,3.0,,,,,37550000.0,46080000.0,0.8148871527777778,-8530000.0,0
2016/17,2016-08-27,Caen,SC Bastia,2,0,2.0406,0.3762,17,5,4,1,5.7778,11.05,6,1,H,3.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,36650000.0,36450000.0,1.0054869684499315,200000.0,0
2016/17,2016-08-27,Nancy,Guingamp,0,2,1.4222,1.5943,19,14,3,6,6.5357,20.4375,7,8,A,0.0,4.0,,,,,,,,,,,,,,,,,,,-4.0,,,,,33100000.0,42500000.0,0.7788235294117647,-9400000.0,2
2016/17,2016-08-27,Nice,Lille,1,1,1.7221,0.416,13,8,6,3,12.3913,10.6471,5,4,D,6.0,3.0,,,,,,,,,,,,,,,,,,,3.0,,,,,132800000.00000001,83900000.0,1.5828367103694876,48900000.000000015,1
2016/17,2016-08-27,Montpellier,Rennes,1,1,0.9991,1.0107,11,12,5,2,8.6286,8.28,3,1,D,3.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,60950000.0,80900000.0,0.7533992583436341,-19950000.0,1
2016/17,2016-08-28,Saint-Etienne,Toulouse,0,0,0.92,0.3958,16,9,3,2,4.1667,7.8824,6,0,D,3.0,4.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,85030000.0,77300000.0,1.1,7730000.0,1
2016/17,2016-08-28,Monaco,Paris Saint Germain,3,1,1.2093,1.1172,9,6,2,1,13.9688,6.6538,1,8,H,4.0,6.0,,,,,,,,,,,,,,,,,,,-2.0,,,,,309550000.0,519000000.0,0.5964354527938343,-209450000.0,0
2016/17,2016-08-28,Bordeaux,Nantes,1,0,1.708,0.7403,10,16,7,6,8.6333,6.4054,3,6,H,3.0,3.0,,,,,,,,,,,,,,,,,,,0.0,,,,,88900000.0,50900000.0,1.7465618860510805,38000000.0,0
2016/17,2016-09-09,Paris Saint Germain,Saint-Etienne,1,1,1.9391,0.2932,15,5,4,2,15.9474,15.5625,5,2,D,6.0,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,519000000.0,85030000.0,6.1037280959661295,433970000.0,1
2016/17,2016-09-10,Lorient,Nancy,0,2,1.096,0.7372,9,7,2,3,5.75,16.64,7,2,A,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,61100000.0,33100000.0,1.8459214501510575,28000000.0,2
2016/17,2016-09-10,Angers,Dijon,3,1,0.6061,0.8042,13,6,7,2,15.7391,9.8261,4,3,H,0.0,3.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,46080000.0,31200000.0,1.476923076923077,14880000.0,0
2016/17,2016-09-10,Lyon,Bordeaux,1,3,0.9933,1.5749,11,10,4,6,12.85,16.3333,5,3,A,6.0,6.0,,,,,,,,,,,,,,,,,,,0.0,,,,,211350000.0,88900000.0,2.3773903262092237,122450000.0,2
2016/17,2016-09-10,Lille,Monaco,1,4,0.679,1.4876,6,9,3,6,8.0303,10.9259,1,2,A,4.0,7.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,83900000.0,309550000.0,0.2710386044257794,-225650000.0,2
2016/17,2016-09-10,SC Bastia,Toulouse,2,1,0.4406,0.463,5,8,4,3,4.2571,5.5714,2,4,H,3.0,5.0,,,,,,,,,,,,,,,,,,,-2.0,,,,,36450000.0,77300000.0,0.4715394566623545,-40850000.0,0
2016/17,2016-09-10,Guingamp,Montpellier,1,1,0.7033,0.1618,12,5,4,2,7.12,7.76,7,2,D,7.0,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,42500000.0,60950000.0,0.6972928630024611,-18450000.0,1
2016/17,2016-09-11,Nantes,Metz,0,3,0.853,1.3139,13,10,3,4,9.7368,10.0625,4,6,A,3.0,6.0,,,,,,,,,,,,,,,,,,,-3.0,,,,,50900000.0,37550000.0,1.355525965379494,13350000.0,2
2016/17,2016-09-11,Rennes,Caen,2,0,0.7156,0.7983,5,8,4,4,11.6,12.2174,2,5,H,4.0,6.0,,,,,,,,,,,,,,,,,,,-2.0,,,,,80900000.0,36650000.0,2.2073669849931785,44250000.0,0
2016/17,2016-09-11,Nice,Marseille,3,2,2.9094,2.0117,18,14,7,5,7.0,8.2128,6,4,H,7.0,4.0,,,,,,,,,,,,,,,,,,,3.0,,,,,132800000.00000001,119650000.0,1.1099038863351443,13150000.000000015,0
2016/17,2016-09-16,Caen,Paris Saint Germain,0,6,1.0069,3.5028,13,21,1,9,21.0,7.6087,1,9,A,6.0,7.0,,,,,,,,,,,,,,,,,,,-1.0,,,,,36650000.0,519000000.0,0.07061657032755299,-482350000.0,2
2016/17,2016-09-17,Monaco,Rennes,3,0,1.8553,0.2074,17,5,7,3,8.0444,12.0,4,2,H,10.0,7.0,,,,,,,,,,,,,,,,,,,3.0,,,,,309550000.0,80900000.0,3.826328800988875,228650000.0,0
